vec,deltachi,delta,deltahmix,deltasmix,phase
8.11,0.142,3.37,0.1,13.14,SS
8.09,0.127,2.38,-4.16,12.83,SS
8.6,0.10400000000000001,2.2,-2.24,13.38,SS
7.8,0.14300000000000002,3.44,-8.96,13.38,SS+IM
7.05,0.13,6.13,-19.46,12.57,SS+IM
7.77,0.115,5.17,-7.67,14.23,SS
8.55,0.095,0.84,0.49,13.14,SS
7.43,0.125,4.95,-7.76,16.18,SS
8.44,0.11800000000000001,2.59,-3.51,12.66,SS
7.5,0.125,5.66,-8.92,14.53,SS
7.75,0.12300000000000001,11.67,-8.01,15.92,SS+IM
6.27,0.133,6.73,-18.84,14.7,IM
6.54,0.131,6.62,-8.61,12.63,SS+IM
8.33,0.109,4.05,-5.19,13.94,SS+IM
5.97,0.19699999999999998,9.94,-20.11,14.74,IM
6.91,0.134,6.72,-17.91,14.7,SS+IM
8.16,0.113,4.15,-2.5,15.44,SS
8.43,0.09699999999999999,4.97,-4.98,12.27,SS
7.95,0.11199999999999999,4.21,-9.69,13.03,SS+IM
7.67,0.11800000000000001,5.33,-7.84,14.53,SS+IM
7.22,0.124,5.92,-7.7,13.14,SS+IM
6.75,0.13,6.57,-9.31,13.86,SS+IM
7.25,0.153,5.59,-11.09,14.53,SS+IM
7.18,0.128,6.18,-6.21,13.25,SS+IM
7.61,0.11199999999999999,5.24,-6.48,14.23,SS+IM
7.6,0.13,6.65,-18.35,12.92,SS+IM
4.4,0.332,5.89,-6.08,13.38,SS+IM
7.5,0.21100000000000002,10.0,-23.9,14.9,SS+IM
6.6,0.196,5.95,-10.72,13.38,IM
5.86,0.175,8.81,-18.21,14.53,IM
7.47,0.127,6.05,-15.04,13.48,SS
8.12,0.10099999999999999,2.3,-5.05,12.2,SS
6.67,0.308,16.85,-33.9,14.9,SS+IM
7.61,0.13699999999999998,3.29,-6.95,14.85,SS+IM
7.27,0.133,6.38,-14.39,15.55,SS
4.56,0.05,3.74,-8.39,13.14,SS
7.42,0.126,5.89,-5.0,13.36,SS+IM
4.25,0.13,4.87,2.5,11.53,SS
4.3,0.218,5.04,-16.84,14.53,SS
8.27,0.107,5.43,-5.29,13.25,SS+IM
8.11,0.11599999999999999,5.8,-5.13,13.14,SS+IM
7.83,0.11900000000000001,5.28,-4.78,14.9,SS+IM
7.64,0.11900000000000001,5.43,-3.9,14.7,SS+IM
6.62,0.188,6.02,-11.14,13.35,IM
7.38,0.10099999999999999,3.62,-5.47,9.83,SS
7.5,0.11800000000000001,6.24,-13.75,11.53,IM
7.89,0.115,5.9,-8.69,13.14,SS
2.8,0.225,5.16,-0.4,12.95,SS
8.0,0.195,4.21,-4.0,13.38,SS+IM
8.0,0.10800000000000001,4.75,-7.03,13.09,SS
7.5,0.136,3.29,-7.56,14.9,SS
4.75,0.051,3.93,-0.25,11.53,SS
8.27,0.109,4.17,-1.52,14.7,SS
7.9,0.139,3.69,-5.24,13.92,SS+IM
8.0,0.11599999999999999,4.92,-3.61,14.87,SS
4.65,0.05,3.83,-4.81,12.71,SS
6.96,0.13,6.38,-7.16,13.1,SS+IM
8.97,0.135,3.8,1.77,13.61,SS
7.61,0.12300000000000001,3.98,-6.14,15.91,SS
7.96,0.138,3.45,-4.6,13.66,SS
7.33,0.157,6.09,-12.74,13.14,IM
5.88,0.161,8.29,-14.0,13.86,IM
8.0,0.14,2.91,-4.34,13.14,SS+IM
8.1,0.14300000000000002,4.21,-0.27,14.43,SS
8.62,0.032,2.03,-11.83,10.69,SS
7.2,0.159,5.92,-12.08,14.53,IM
7.42,0.11699999999999999,5.3,-10.9,13.33,SS+IM
8.36,0.122,4.82,-3.7,14.7,SS
8.09,0.106,3.15,-7.03,12.59,SS+IM
6.45,0.127,6.71,-15.58,12.92,SS+IM
6.64,0.138,5.3,-16.26,15.74,SS
9.5,0.031,1.14,5.0,11.53,SS
6.0,0.18,9.04,-18.5,14.78,IM
7.76,0.135,3.26,-3.72,13.23,SS
7.4,0.14300000000000002,3.33,-9.12,13.38,SS+IM
6.46,0.342,19.29,-39.66,14.78,SS+IM
7.5,0.147,6.99,-16.9,14.9,SS+IM
4.83,0.251,7.07,-2.67,12.98,SS
7.23,0.131,6.36,-16.42,14.23,SS
7.02,0.165,5.85,-12.32,14.61,IM
8.0,0.138,3.27,-4.16,13.38,SS
5.86,0.201,10.19,-20.66,14.53,IM
7.43,0.14800000000000002,5.59,-8.85,17.69,SS
6.82,0.125,6.36,-14.28,13.25,IM
7.22,0.136,4.32,-10.44,15.91,IM
7.6,0.124,5.63,-4.0,13.38,SS+IM
7.17,0.125,6.11,-10.14,14.53,IM
4.86,0.23199999999999998,7.06,-2.53,12.27,SS
7.31,0.11900000000000001,5.56,-11.65,13.37,SS
8.17,0.133,3.06,-4.07,13.3,SS
6.5,0.127,6.68,-15.45,12.98,IM
6.91,0.127,6.5,-18.02,14.85,SS+IM
6.84,0.20199999999999999,11.46,-18.31,16.0,SS+IM
7.82,0.124,5.4,-5.55,14.7,SS+IM
7.09,0.134,6.58,-15.5,15.55,SS
7.89,0.12,5.07,-2.14,13.31,SS
8.17,0.12,4.96,-4.61,12.88,SS
6.84,0.128,6.46,-11.59,14.23,IM
8.2,0.11599999999999999,4.93,-8.39,13.48,IM
7.47,0.124,3.92,-6.81,15.72,SS
7.13,0.147,5.77,-11.78,14.43,SS+IM
7.79,0.122,5.29,-2.81,13.35,SS
7.15,0.147,5.9,-11.48,18.21,SS+IM
7.39,0.12300000000000001,5.76,-2.68,13.24,SS+IM
7.0,0.142,7.04,-19.57,14.7,SS+IM
7.15,0.139,5.77,-11.95,14.22,SS+IM
6.67,0.172,6.11,-11.85,13.14,SS+IM
6.75,0.127,5.64,-9.32,12.9,SS
7.77,0.133,5.3,-4.48,15.6,SS
8.05,0.115,4.12,-3.34,15.76,SS
7.0,0.158,5.6,-10.84,14.53,IM
6.8,0.15,7.46,-26.4,13.38,SS
7.69,0.12300000000000001,5.47,-3.43,13.37,SS+IM
5.5,0.364,2.31,-6.5,11.53,SS
