vec,deltachi,delta,deltahmix,deltasmix,phase
8.6,0.10400000000000001,2.2,-2.24,13.38,1
8.83,0.196,4.69,-6.11,12.98,1
7.33,0.152,6.29,-13.45,14.9,1
3.84,0.267,5.68,-3.89,12.31,2
7.33,0.275,10.85,-15.78,14.9,0
7.61,0.11199999999999999,5.24,-6.48,14.23,2
6.46,0.146,7.5,-23.9,14.78,2
6.0,0.127,6.92,-16.41,12.27,0
3.0,0.055999999999999994,1.37,0.0,13.38,1
8.23,0.114,4.18,0.29,13.01,1
9.24,0.035,6.23,5.17,12.57,2
7.9,0.139,3.69,-5.24,13.92,2
6.86,0.13699999999999998,6.79,-11.11,14.53,2
4.8,0.275,6.85,-2.72,13.38,1
7.2,0.159,7.49,-15.64,14.21,0
7.73,0.111,4.38,-8.58,13.07,2
7.5,0.11800000000000001,6.24,-13.75,11.53,0
7.98,0.138,3.36,-4.38,13.54,1
8.55,0.095,0.84,0.49,13.14,1
7.31,0.12,5.18,-7.19,14.23,2
8.16,0.113,4.15,-2.5,15.44,1
8.29,0.032,2.66,-19.43,11.24,2
6.3,0.196,9.63,-20.74,14.59,0
7.2,0.121,5.78,-12.32,13.38,0
9.0,0.033,0.33,-1.33,9.13,1
8.09,0.115,7.79,-4.0,15.44,2
7.18,0.131,5.78,-12.14,13.92,1
4.3,0.218,5.04,-16.84,14.53,1
8.0,0.111,4.37,-4.6,14.53,1
6.54,0.131,6.62,-8.61,12.63,2
6.68,0.222,12.88,-19.0,16.16,2
8.77,0.10400000000000001,2.94,0.12,12.01,1
8.0,0.12300000000000001,5.32,-5.78,12.98,1
5.5,0.364,2.31,-6.5,11.53,1
4.32,0.11599999999999999,4.92,-6.33,14.5,1
7.23,0.131,6.36,-16.42,14.23,1
8.27,0.107,5.43,-5.29,13.25,2
8.33,0.13,2.57,-4.84,12.66,1
5.97,0.19699999999999998,9.94,-20.11,14.74,0
7.88,0.139,3.77,-5.45,13.99,2
8.17,0.12,4.96,-4.61,12.88,1
6.75,0.122,6.26,-13.25,11.53,2
7.17,0.125,6.11,-10.14,14.53,0
7.13,0.154,7.31,-16.61,15.6,2
7.0,0.145,7.01,-13.67,14.9,2
7.5,0.14300000000000002,5.39,-5.11,14.9,1
8.17,0.133,3.06,-4.07,13.3,1
8.33,0.109,4.05,-5.19,13.94,2
5.96,0.168,8.6,-15.35,14.35,0
7.5,0.147,6.99,-16.9,14.9,2
7.4,0.122,5.71,-7.92,14.53,0
6.6,0.196,5.95,-10.72,13.38,0
8.47,0.10400000000000001,3.42,0.16,14.43,1
8.0,0.15,3.45,-5.5,11.53,1
7.22,0.124,5.92,-7.7,13.14,2
7.97,0.138,3.41,-4.5,13.61,1
7.29,0.11599999999999999,6.12,-18.87,16.18,1
7.17,0.151,6.9,-16.67,14.9,1
7.0,0.126,6.33,-16.53,14.7,2
6.67,0.141,7.22,-21.56,14.9,2
6.57,0.23199999999999998,13.58,-19.36,16.18,2
4.6,0.113,7.48,-1.28,11.08,1
8.07,0.136,3.17,-4.12,13.3,1
7.89,0.139,3.73,-5.35,13.96,2
7.8,0.14300000000000002,3.44,-8.96,13.38,2
7.6,0.12300000000000001,5.69,-6.24,14.85,2
6.84,0.20199999999999999,11.46,-18.31,16.0,2
8.25,0.125,5.85,-8.0,11.53,1
7.92,0.152,5.09,-10.25,14.17,2
6.62,0.126,6.58,-15.05,13.1,2
7.0,0.142,7.04,-19.57,14.7,2
8.5,0.146,3.38,4.69,12.97,1
8.92,0.135,4.61,1.79,13.84,2
8.9,0.135,4.89,1.8,13.92,2
5.88,0.161,8.29,-14.0,13.86,0
8.56,0.11,3.86,-1.7,12.45,1
7.0,0.14,6.34,-13.94,17.29,1
6.36,0.192,9.51,-18.57,14.7,0
6.46,0.342,19.29,-39.66,14.78,2
9.0,0.135,3.18,1.76,13.38,1
5.73,0.17,8.6,-17.81,14.21,0
3.0,0.059000000000000004,5.07,0.0,13.38,1
6.28,0.177,8.71,-17.54,14.83,0
7.67,0.113,4.6,-9.08,13.14,1
7.4,0.14800000000000002,6.94,-14.02,15.91,2
8.4,0.139,6.5,-11.04,13.38,1
8.0,0.139,6.16,-8.44,9.13,2
7.83,0.139,3.98,-6.05,14.17,2
7.7,0.11900000000000001,5.7,-8.32,14.53,2
8.0,0.129,2.9,2.61,12.89,1
3.35,0.17300000000000001,3.91,-0.53,6.47,2
7.61,0.13699999999999998,3.29,-6.95,14.85,2
7.95,0.11199999999999999,4.21,-9.69,13.03,2
7.77,0.133,5.3,-4.48,15.6,1
7.4,0.142,6.68,-16.32,13.38,1
7.92,0.139,3.62,-5.03,13.84,1
7.8,0.146,3.73,-4.04,12.95,2
7.83,0.11900000000000001,5.28,-4.78,14.9,2
7.42,0.11699999999999999,5.3,-10.9,13.33,2
7.5,0.125,5.66,-8.92,14.53,1
7.22,0.152,7.21,-15.86,15.72,2
8.33,0.111,0.16,-4.89,9.13,1
7.84,0.126,5.6,-6.78,13.02,1
8.4,0.142,3.2,2.72,13.38,1
3.8,0.163,10.95,-14.88,13.38,0
8.06,0.115,1.91,-4.07,12.63,1
8.0,0.127,5.46,-7.28,15.55,1
8.43,0.155,3.57,-0.49,12.89,1
7.89,0.115,5.9,-8.69,13.14,1
7.67,0.11800000000000001,5.33,-7.84,14.53,2
7.5,0.105,6.58,-20.45,14.9,1
6.14,0.138,7.3,-23.36,14.53,2
7.19,0.13,4.7,-5.51,12.32,1
7.25,0.153,5.59,-11.09,14.53,2
8.02,0.109,3.74,-8.42,12.84,2
6.84,0.128,6.46,-11.59,14.23,0
8.89,0.038,8.95,5.33,13.14,2
7.77,0.121,4.04,-5.25,16.0,2
7.39,0.12300000000000001,5.76,-2.68,13.24,2
7.78,0.124,5.5,-4.91,13.3,2
8.0,0.14,2.91,-4.34,13.14,2
6.17,0.18600000000000003,9.27,-18.67,14.9,0
7.18,0.128,6.18,-6.21,13.25,2
4.75,0.124,8.78,-5.0,11.53,2
8.4,0.10300000000000001,3.25,-0.71,14.32,1
8.88,0.126,2.75,3.88,12.97,1
4.56,0.05,3.74,-8.39,13.14,1
7.75,0.138,6.25,-15.61,13.21,2
9.44,0.032,3.1,5.04,11.87,2
6.8,0.14300000000000002,5.56,-15.96,15.69,1
6.06,0.192,9.67,-19.49,14.85,0
4.75,0.051,3.93,-0.25,11.53,1
8.0,0.10400000000000001,0.27,-4.44,9.13,1
7.96,0.138,3.45,-4.6,13.66,1
8.17,0.152,6.58,-17.9,14.9,1
5.78,0.203,10.31,-20.91,14.35,0
3.69,0.309,7.7,-3.65,12.31,2
8.11,0.11599999999999999,5.8,-5.13,13.14,2
6.62,0.188,6.02,-11.14,13.35,0
7.77,0.115,5.17,-7.67,14.23,1
7.6,0.139,6.46,-16.96,13.97,2
7.0,0.11699999999999999,5.87,-6.12,13.14,2
7.5,0.149,5.5,-8.13,17.29,2
6.23,0.191,9.45,-19.64,14.83,0
8.97,0.135,3.8,1.77,13.61,1
6.72,0.131,6.57,-10.28,14.0,0
7.0,0.11900000000000001,5.39,-11.0,12.98,0
6.92,0.141,6.91,-12.25,14.78,2
7.33,0.157,6.09,-12.74,13.14,0
8.25,0.147,3.32,4.5,12.97,1
4.78,0.29,6.55,-2.67,13.14,1
6.91,0.134,6.72,-17.91,14.7,2
7.5,0.131,3.6,-2.13,10.98,2
6.71,0.131,6.55,-8.1,12.84,2
7.85,0.139,3.91,-5.85,14.12,2
7.38,0.10099999999999999,3.62,-5.47,9.83,1
7.23,0.146,5.51,-9.7,14.23,2
4.65,0.05,3.83,-4.81,12.71,1
8.34,0.303,6.53,-6.45,14.9,2
7.13,0.147,5.77,-11.78,14.43,2
3.7,0.16699999999999998,3.85,-1.14,6.47,2
8.2,0.111,5.61,-5.28,13.38,2
8.26,0.14300000000000002,3.72,-3.58,10.79,1
4.76,0.298,6.32,-2.6,12.71,1
8.54,0.077,3.94,-6.06,10.69,1
7.47,0.127,6.05,-15.04,13.48,1
8.09,0.106,3.15,-7.03,12.59,2
7.65,0.14300000000000002,5.15,-3.97,14.87,1
8.34,0.129,6.59,2.0,14.9,2
8.12,0.11900000000000001,4.93,-4.15,15.44,1
7.58,0.11599999999999999,5.37,-7.14,14.53,2
7.69,0.12300000000000001,5.47,-3.43,13.37,2
6.63,0.131,6.61,-10.56,13.86,0
4.8,0.11800000000000001,8.68,-4.64,13.38,2
8.0,0.11599999999999999,5.44,-5.02,14.7,2
8.81,0.135,6.03,1.83,14.22,2
8.33,0.10400000000000001,5.27,-5.22,12.98,2
7.91,0.145,3.69,-4.17,11.41,1
7.42,0.12,5.34,-7.56,14.53,1
8.05,0.11900000000000001,5.92,-4.94,12.57,2
7.15,0.147,5.9,-11.48,18.21,2
6.11,0.18100000000000002,9.11,-17.77,14.85,0
8.25,0.044000000000000004,1.08,-8.75,11.53,1
6.95,0.133,4.84,-10.15,15.83,0
7.87,0.139,3.84,-5.65,14.06,2
7.02,0.165,5.85,-12.32,14.61,0
4.82,0.262,7.01,-2.71,13.25,1
7.36,0.14800000000000002,5.68,-9.52,17.89,1
4.34,0.10300000000000001,4.84,-4.41,12.63,1
7.53,0.11199999999999999,3.41,-6.92,12.26,2
5.71,0.205,10.38,-21.06,14.15,0
7.76,0.135,3.26,-3.72,13.23,1
5.92,0.165,8.47,-14.74,14.15,0
7.08,0.121,6.02,-16.39,14.22,1
7.0,0.149,6.59,-13.28,13.38,2
8.07,0.11800000000000001,5.06,-8.45,13.87,2
7.91,0.139,3.66,-5.14,13.88,2
6.23,0.127,6.84,-16.09,12.63,0
6.92,0.156,5.45,-10.27,14.23,0
7.29,0.11900000000000001,5.61,-11.8,13.37,2
7.05,0.13,6.13,-19.46,12.57,2
4.8,0.275,6.85,-2.72,13.38,1
8.36,0.11599999999999999,4.49,-3.26,12.72,1
6.45,0.127,6.71,-15.58,12.92,2
8.25,0.09699999999999999,0.3,-3.75,11.53,1
8.0,0.138,3.27,-4.16,13.38,1
7.77,0.11,4.22,-8.22,13.01,1
7.33,0.156,3.1,-15.17,14.9,1
6.86,0.12,6.37,-22.76,14.78,2
4.86,0.23199999999999998,7.06,-2.53,12.27,1
